artist-id	artist
241854	Lady GaGa
64127	CSS
139192	Eskiboy
28664	Arlindo Cruz
464838	Underoath
45939	Biffy Clyro
73268	Chase & Status
3000	4Minute
159279	GZA
166907	Glee Cast
35725	BEAST
34672	Az Yet
268552	Manic Street Preachers
116870	Disarmonia Mundi
279207	Mayer Hawthorne
186559	Hot Chelle Rae
68618	Carrie Underwood
422376	The Clash
35957	BOY
440996	The Script
56558	Box Car Racer
54968	Bon Jovi
478578	White Lion
46635	Big Sean
144706	Far East Movement
469330	Venom
35541	B1A4
199868	Jack's Mannequin
97733	DMX
42132	Beethoven
32883	Audioslave
122909	DragonForce
231897	Kid Cudi
408368	Switchfoot
19709	Amy Winehouse
411627	Taio Cruz
223655	K
223000	Justin Bieber
170669	Green Day
35455	B.O.B.
33992	Aventura
69477	Cat Stevens
177329	Hanson
438300	The Postal Service
28900	Armin
221351	Julia Fordham
313311	Oasis
444464	The Ting Tings
73023	Charlie Wilson
103327	Dash Berlin
470923	Vidi Aldiano
238946	Kylie
171476	Greyson Chance
195999	Iron Maiden
224206	KARA
308470	Nirvana
387140	Skye Sweetnam
13187	Alanis Morissette
30635	Ash
218384	Jordin Sparks
287800	Miley Cyrus
78035	Chrisye
244556	Laurel Aitken
150865	Foo Fighters
451810	Tina Turner
1983	2PM
250512	Lifehouse
403790	Sublime
136191	EnglandNewOrder
30394	As I Lay Dying
33975	Avenged Sevenfold
207830	Jeremih
346704	Raimundos
446638	The White Stripes
241803	Lady Antebellum
246018	Led Zeppelin
159714	Gaia
381631	Shogun
226039	Kanye
1343	2 Chainz
270290	Marco
229337	Keith Sweat
244418	Laura Jansen
411980	Talay Riley
427359	The Fray
139081	Escape the Fate
204161	Jason Derulo
406736	Survivor
387429	Slash
159264	GWAR
490003	_
463269	U2
349433	Ray Keith
314298	Oficina G3
14558	Alex Goot
56714	Boyce Avenue
400680	Steve Vai
237086	Kreayshawn
92340	DEV
90044	Curtis Mayfield
373349	Scarlett O'Hara
404879	Sum 41
360568	Rodney
337560	Pomplamoose
6399	AZ
55885	Borgore
3152	50 Cent
333921	Pied Piper
267555	Maliq & D'essentials
50073	Black Squirrel (Broken, Beat & Scarred).mp3
374713	Scouting for Girls
103505	Daughtry
247473	Lenny Kravitz
481534	Wiz Khalifa
224907	Kahitna
149669	Flo Rida
2167	3 Doors Down
71010	Cerati
77047	Christian Bautista
37087	Bad Religion
86002	Cornershop
446266	The Wanted
119684	Don
369613	Sam Fan Thomas
244171	Latitudes
199529	Jack Johnson
35848	BLACKstreet
388489	Small Black
328848	Pendulum
393044	Soulja Boy
35936	BOND
169270	Gotan Project
228844	Keane
40435	Bassnectar
77429	Christina Aguilera
203706	Japan
179092	Hatebreed
8858	Adam Levine
55393	Booba
107706	Dead by April
230731	Kerli
518635	Thieving Irons
345705	Racionais MC's
82122	Cockney Rebel
59230	Bring Me the Horizon
265422	Madonna
72207	Charlene Soraia
386556	Skillet
189370	I Break Horses
229547	Kelly Clarkson
406169	Supergrass
431878	The Killers
103073	Darwin Deez
60640	Bryan Adams
344762	R.H.C.P.
134810	Emicida
303795	Nelly
335850	Planet Hemp
54870	Bombay Bicycle Club
301048	Nando Reis
152896	Frank
146564	Fergie
403091	Stuck in the Sound
274203	Marshall Jefferson
70173	Cazuza
278422	Mavado
214994	John Legend
65273	Cama
184195	Hillsong
32436	Attack
51470	Block B
14213	Alesana
78492	Chumbawamba
399588	Steps
118243	Djavan
210256	Jimi Hendrix
376619	Selena Gomez & The Scene
445796	The Verve
304176	Neon Trees
389447	Snow Patrol
186017	Hooray for Earth
458939	Trey Songz
50009	Black Sabbath
244868	Lauryn Hill
181557	Hellyeah
143322	Fabolous
446475	The Weeknd
211591	Joan Osborne
485873	You Me At Six
300310	Nada Surf
423147	The Cranberries
165404	Gigi D'Agostino
517875	Strike
156067	Friends
166136	Giovanni
323145	Panik
244454	Laura Marling
224401	KLa Project
458415	Travis Porter
365531	Rush
212454	Joe Jonas
357674	Rivermaya
462786	Tyrese
136496	Enrique Iglesias
142184	Extreme
82046	Cobra Starship
419698	The Birthday Suit
69254	Cassie
357422	Rita Lee
48698	Birdy
82405	Cody ChesnuTT
449446	Thousand Foot Krutch
484929	Yaz
380498	Sheila on 7
271277	Maria Gadú
6133	ANOTONIO & VAVILDI
98560	Daddy Yankee
264457	Mac Miller
96457	DJ Shadow
227428	Kashmir
85248	Cookie Monsta
223140	Justin Timberlake
237246	Kris Allen
367276	SE
200724	Jagged Edge
419677	The Bird and The Bee
267811	Mamas & Papas
144582	Fantasia
150614	Foghat
370364	Samsons
374349	Scott D. Davis
52250	Blue October
98929	Dajae
335740	Plain White T's
306270	Nick Lowe
89697	Culture Club
317345	Orange Juice
37345	Bah Samba
65197	Calvin Harris
124939	Duffy
297494	Muse
63916	CJ Hilton
339738	Prince
153294	Frank Ocean
212162	Joe Budden
323232	Pantera
419599	The Big Pink
76750	Chris Tomlin
201637	James Brown
259248	Luan Santana
270175	March Violets
81185	Clipse
52759	Bläck Fööss
377950	Set Your Goals
11053	Agridoce
293785	Morcheeba
56130	Bos Angeles
443287	The Strokes
409815	T Pain
457952	Trans-X
431982	The Kinks
107599	Dead Or Alive
229758	Kempi
242358	Lamb
462593	Tyga
271604	Marianas Trench
30863	Ashley Tisdale
150519	Foals
465621	Unknown Mortal Orchestra
296730	Mudhoney
83770	Common
261607	Lyfe Jennings
290986	Mocca
335679	Placebo
180274	Heavy D
21325	Andrew Belle
306511	Nicki Minaj
103495	Daughter
374235	Scorpions
393462	Soundgarden
456910	Toto
455047	Toni Braxton
438429	The Pretty Reckless
364718	Rudi
146640	Fernandinho
28771	Armandinho
306484	Nickelback
98656	Daft Punk
204977	Jay Sean
481473	Within Temptation
422438	The Click Five
131703	El Presidente
262440	M. Jackson
163192	George Duke
78727	Ciara
30786	Ashlee Simpson
428909	The Guess Who
279515	McCartney
56843	Boyzone
484689	Yanni
326000	Patti Smith
53701	Bobby
300208	Nach
97812	DOOM
46842	Biggie
486634	Yung Berg
337263	Police, The
361744	Rome
349372	Ray Foxx
73908	Cher Lloyd
10667	Age of Consent
48085	Billy Paul
91167	D'Angelo
193171	India Arie
469354	Ventania
414087	Tears for Fears
27998	Arctic Monkeys
209601	Jill Scott
68131	Caro Emerald
125560	Duran Duran
412367	Tamika Scott
46700	Big Time Rush
103100	Daryl Hall & John Oates
325031	Pat Benatar
326853	Paul McCartney & Wings
432042	The Knack
313115	OMD
53860	Bobby Darin
163283	George Harrison
401373	Sting
51981	Blue
218431	Jorge Ben
320896	P. Collins
47544	Bill Withers
476807	Wayne Wonder
125143	Duman
62561	Busta
510591	Cry
379188	Shakira
453760	Tom Petty
141563	Exaltasamba
53364	Bob Marley
149711	Flogging Molly
259581	Luciana Souza
360474	Rod Stewart
404821	Sully
148035	Fiona Apple
240006	LIGHTS
419217	The Beatles
31263	Assia
255901	Loretta Lynn
333296	Phoenix
422348	The Civil Wars
165799	Gin Blossoms
333968	Pierangelo Bertoli
440244	The Roots
169136	Gorillaz
136138	Engenheiros do Hawaii
475105	Wallen
299160	Mélanie Laurent
342165	Pulp
56983	Brad Paisley
409994	T-ara
292252	Monica
185330	Hollywood Undead
204304	Jason Mraz
308671	Nivea
190750	Ice Cube
49764	Black Label Society
361491	Rolling Stones
280137	Meek Mill
349424	Ray J
448808	Thomas Dolby
230709	Keri Hilson
153648	Frankie Goes To Hollywood
53165	Bob Dylan
276650	Mat Kearney
153934	Franz Ferdinand
190310	Ian Brown
107828	Deadmau5
346162	Rae
123271	Dream Theater
218421	Jorge & Mateus
378608	Sezen Aksu
221851	Julieta Venegas
138963	Erykah Badu
308924	No Fun at All
306953	Nicole Scherzinger
223906	K. Dot
399802	Sterling Knight
451212	Timati
236518	Korn
16662	All Time Low
179954	Heart
223685	K Franklin
426689	The Fireman
347544	Ramones
320751	Ozzy
295066	Motorhead
270135	Marcelo D2
19000	Amerie
270146	Marcelo Jeneci
279549	McFly
4352	A Day to Remember
198806	JLS
235108	Klymaxx
27914	Archie Shepp
281048	MellowHype
327436	Paula Fernandes
79430	City & Colour
89625	Culcha Candela
50630	Blake Shelton
384063	Simon & Garfunkel
429816	The Hollywood Argyles
398481	Steely Dan
219304	Josh Groban
386525	Skid Row
388428	Slyder
188014	Human League
392429	Sorriso Maroto
157993	Future
223089	Justin Moore
9596	Adrian Crowley
66322	Capital Inicial
186035	Hootie & The Blowfish
12154	Akon
6451	Aaliyah
317353	Orange Machine
52116	Blue Foundation
372460	Satellites
357238	Rise Against
457471	Tracy Bonham
74056	Cheryl
107337	DeVotchKa
261842	Lynyrd Skynyrd
150121	Floyd
140463	Eurythmics
61748	Bullet For My Valentine
478792	Whitney
139608	Esthero
458659	Trembling Bells
129882	Edson & Hudson
240037	LL Cool J
481202	Wire
11465	Aimee Mann
91298	D-12
172838	Guana Batz
210480	Jimmy Buffett
23686	Anita Baker
399445	Stephen Malkmus & The Jicks
54820	Bom Gosto
268414	Mango Groove
31034	Asking Alexandria
830	112
420240	The Bluetones
23308	Angra
231211	Kevin Lyttle
104005	Dave Matthews Band
261333	Luther Vandross
41291	Beastie Boys
125161	Dumbfoundead
469818	Versailles
82598	Colbie Caillat
74965	Chimarruts
55307	Bonnie Tyler
151857	Four Year Strong
9129	Addison Road
406145	Superfly
433046	The Lonely Island
445480	The Used
386909	Skrillex
386257	Skank
356487	Rico
432112	The Kooks
302474	Naturally 7
277554	Matt Wertz
20163	Ananda Shankar
1986	2Pac
206607	Jeff Buckley
192349	Imogen Heap
206519	Jeezy
295814	Mr. Big
173354	Guizmo
403399	Styles
62571	Busted
250844	Lil Boosie
418518	The Audition
380272	She & Him
319649	Otis Redding
134381	Elvis
173893	Guster
146084	Felguk
179650	He Is We
271222	Maria Carey
457357	Trace Adkins
243843	Last Kry
273943	Marlon Roudette
214345	John Denver
476500	Wavves
259213	Lu Alone
50153	Black Veil Brides
122225	Dr Dre
10067	Aerosmith
166021	Ginuwine
76488	Chris Medina
338268	Portishead
29358	Arrola
33925	Avatar
414157	Tech N9ne
68676	Cars & Trains
251425	Limp Bizkit
373283	Scarface
423453	The Cure
168324	Goldfinger
276625	Mastodon
87383	Craig David
457652	Train
462663	Tyler the Creator
452021	Tiny Ruins
254602	Loick
221123	Juicy J
336620	Plumb
415722	Tequila Baby
328436	Peedi Crakk
15298	Alexi Murdoch
396856	St. Vincent
456089	Tool
56795	Boys Like Girls
301643	Nat Birchall
27089	Apoptygma Berzerk
25528	Anthony Hamilton
243673	Lasgo
153657	Frankie J
450740	Tim B.
453081	Tokio Hotel
39971	Base Ball Bear
443240	The Streets
451219	Timbaland
220482	Juan Magan
335554	Pitty
363564	Rouge
470129	ViViD
327428	Paula DeAnda
92428	DJ
301871	Natasha Bedingfield
282810	Metronomy
17529	Alphabeat
341559	Psychedelic Furs
359677	Robin Thicke
240047	LM.C
261179	Lupe Fiasco
242492	Lana Del Ray
6319	ATL
294549	Mos Def
308881	No Doubt
57392	Bran' Nu
261232	Lush
82608	Cold
370991	Sandy
9641	Adrian Lux
402019	Story of the Year
344965	RBD
47930	Billy Idol
461596	Turin Brakes
298323	My Morning Jacket
225091	Kaiser Chiefs
324918	Passion Pit
260029	Ludacris
375884	Secondhand Serenade
337833	Pop Will Eat Itself
435692	The National
99579	Dan Balan
192665	In Flames
146413	Fences
481905	Wolfmother
201606	James Blunt
227724	Kate Bush
371518	Saosin
295748	Mr Vegas
403798	Sublime with Rome
87284	Cracker
365471	Rupee
202460	Jamie Foxx
304539	Netral
231161	Kevin Johansen
275500	Mary J Blige
362970	Roscoe Dash
483610	Xandria
375388	Sean Paul
156050	Friendly Fires
315811	Omarion
388669	Smashing Pumpkins
440778	The Saturdays
69062	Cashier No.9
107072	De Saloon
415609	Tenor Saw
401685	Stone Sour
215322	John Otway
297053	Mumford & Sons
156967	Fugazi
418464	The Ataris
212356	Joe Goddard
345302	RUN-DMC
30686	Ashanti
11960	Akcent
450792	Tim Buckley
279024	Maxwell
198975	JUDY AND MARY
225978	Kansas
133207	EliZe
286073	Miguel
307459	Nightwish
92416	DIO
240162	LS Jack
454124	Tomate
55090	Bone Thugs-N-Harmony
92628	DJ Antoine
387801	Slick Rick
269020	Manu Chao
57448	Brandi Carlile
439234	The Ready Set
122096	Downlink
479240	Wilco
14544	Alex Gaudino
116463	Dire Straits
352034	Regina Spektor
269617	Marc Bolan & T-Rex
234818	Klaypex
88002	Creed
289592	Misery Signals
68739	Cartel
338211	Porta
37213	Badly Drawn Boy
387392	Slank
365034	Rufus
228276	Katon Bagaskara
90687	Cypress Hill
231484	Keyshia Cole
335614	Pixies
316249	One Dove
171604	Grimes
464988	Ungu
249486	Letlive
416142	Terri B
72016	Chapel Club
477113	Webbie
196569	Isley Brothers
263858	MIKA
227373	Kasabian
66981	Caribou
412847	Tantrum Desire
225178	Kakkmaddafakka
161944	Geisha
388506	Small Faces
151165	Foreign Beggars
367929	SWV
150298	Flux Pavilion
5040	A-Ha
445777	The Veronicas
376831	Semisonic
272174	Mario
281986	MercyMe
385185	Siouxsie & The Banshees
164831	Ghost
125926	Dwele
418139	The Antlers
76815	Chris Willis
82419	Cody Simpson
476866	We Are Augustines
289820	Miss May I
333984	Pierce the Veil
109270	Deep Purple
461399	Tung Twista
20312	Anberlin
146045	Feist
265412	Madness
258846	Loveninjas
232594	Killing Me Inside
155469	Freeway
301795	Natalie Imbruglia
424345	The Devil Wears Prada
42710	Belo
156942	Fueled by Fire
157351	Funeral for a Friend
468292	Vanessa Mae
40629	Bathory
102925	Darren Hayes
346405	Rage Against The Machine
112407	Destiny's Child
449537	Three Days Grace
67838	Carlos Varela
319528	Oswaldo Montenegro
189580	I See Stars
242108	Laidback Luke
361769	Romeo Santos
321917	Pac Div
277420	Matt Nathanson
493319	the pillows
377037	Senses Fail
154211	Frau
65270	Cam'Ron
269322	Manà
108370	Deathstars
4697	A Pink
61936	Bunglon
433614	The Magic Numbers
47954	Billy Joel
480710	Wilson Simonal
474865	Waka Flocka
492186	miss A
252854	Lit
23377	Angus & Julia Stone
431180	The Jesus & Mary Chain
253986	Lloyd
160275	Gang Starr
310251	Nonpoint
43441	Bengala
294951	Motion City Soundtrack
359854	Robyn
200893	Jaheim
212040	Joe
64148	CUD
264629	Machinae Supremacy
141572	Example
371598	Sara Bareilles
365029	Rufio
332062	Pharell
165596	Gildas Loaëc
247344	Lenka
14732	Alex O'Rion
195094	Interpol
291393	Mogwai
484982	Yeah Yeah Yeahs
102690	Darkness, The
234036	Kirko Bangz
188424	Hurts
452227	Titi Boy aka 2 Chains
223253	Juvenile
33886	Avant
146005	Fefe Dobson
41851	Beck
141833	Exitmusic
209220	Jethro Tull
6378	AWOLNATION
358360	Robbie Williams
453941	Tom Waits
336541	Plies
166359	Girlicious
103887	Dave Hollister
404929	Summer Camp
127453	Earl
27749	Arcade Fire
288632	Mindy Gledhill
67310	Carl Thomas
410815	TLC
33091	Augustana
11542	Air
229617	Kelly Price
414766	Teenage Fanclub
485426	Yo Gotti
172206	Grouplove
209120	Jesús Adrián Romero
31739	At the Gates
247496	Lenny Williams
287738	Miles Away
29320	Arrested Development
242361	Lamb Of God
399444	Stephen Malkmus
416756	Tevin Campbell
305527	Newsboys
14314	Alesso
368595	Safetysuit
278947	Maximo Park
45087	Bethany Dillon
13421	Albert Hammond
374955	Scroobius Pip
35546	B2K
350278	Real Thing
515499	Mree
104665	David Cook
46126	Big Boy
69774	Catherine Wheel
80693	Clearlake
268288	Mandy Moore
259984	Lucy Rose
412760	Tank
35673	BBMAK
290331	Misty Edwards
447452	The xx
335940	Planetshakers
268138	Manchester Orchestra
246038	Ledisi
4976	A$AP Rocky
58727	Brian McKnight
16024	Alicia Keys
352534	Remaster)
477249	Weezer
15343	Alexis Jordan
230723	Kerispatih
133003	Elephant Ride
44058	Beres Hammond
200103	Jackson 5
404313	Sue McLaren
46584	Big Pun
68871	Cas Haley
283992	Michael Learns To Rock
52696	Blur
483921	Ximena Sariñana
276727	Matchbox 20
167730	Goapele
376815	Semilla
357682	Riverside
478073	Wet Wet Wet
201353	Jam
151286	Forever the Sickest Kids
149304	Fleetwood Mac
325805	Patrick Stump
219889	Jova
375107	Sea Wolf
151195	Foreigner
418841	The Band
368440	Sade
134337	Eluveitie
112016	Des'Ree
388234	Slowdive
11624	Airbourne
169697	Graffiti6
96991	DJ Tiesto
375712	Sebastien Tellier
208748	Jesse McCartney
423246	The Cribs
501	009 Sound System
467743	Valerius
46041	Big Bang
482075	Wonder Girls
190196	IU
303627	Neil Young
458141	Transplants
478206	Wheatus
63717	CAKE
129015	Eddie Floyd
343408	QOTSA
455908	Tony Thompson
134002	Elliott Yamin
171661	Grinderman
68846	Cary Brothers
320814	P!nk
463114	U-KISS
445527	The Vaccines
320798	P Money
197401	Iyaz
490440	brokeNCYDE
425124	The Duke Spirit
244527	Laura Veirs
60060	Brown Eyed Girls
113005	Dewa 19
298769	Mystery Jets
158499	G-DRAGON
281126	Melody Fall
134315	Elton John
241132	La Shark
338514	Potato
282749	Metric
222704	Jurassic 5
203281	Jane's Addiction
71469	Chairlift
362734	Roots Manuva
333636	Phynn
107120	De Staat
324237	Paris Hilton
397320	Stan Walker
306107	Nick Cave
120760	Donovan
289484	Mis-Teeq
40396	Basshunter
12723	Alain Clark
3594	702
299887	NINA SIMONE
53508	Bob Sinclair
185067	Hole
70599	Celine Dion
392328	Soprano
367890	SUPER JUNIOR
12710	Alain Bashung
288643	Mine
148968	Flaming Lips
183335	Hey
244744	Laurent Wolf
115670	Digital Planet
478310	While She Sleeps
277191	Matt Cardle
115857	Dilla Dog
255146	Longpigs
31876	Aterciopelados
26705	Ao Cubo
109700	Deftones
304821	Never Shout Never
255747	Lords of the Underground
282785	Metro Station
202623	Jammil e Uma Noites
31486	Astrid
58527	Brian Culbertson
103343	Dashboard Confessional
263894	MISIA
164436	Gers Pardoel
103060	Darvin
35043	B-52's
492543	orange pekoe
492622	peterpan
147154	Fiddler's Green
263727	MELL
270038	Marcel Woods
164945	Ghostpoet
232631	Killswitch Engage
193540	Infadels
224445	KODA KUMI
38400	Banda UÓ
484342	YUI
140240	Eugene McGuinness
224358	KISS
166481	Gita Gutawa
356574	Ride
339470	Pretty Ricky
423003	The Corrs
278466	Max
217232	Jon B
446940	The Wombats
64493	Caesars
222390	Junior Boys
40322	Bass T
348496	Rascal Flatts
404665	Suicide Silence
3202	509-E
388952	Smokie Norful
298564	Mylène Farmer
378255	Seventeen
362872	Rosa de Saron
64572	Café Tacuba
374600	Scott Stapp
75110	Chingy
192005	Illya Kuryaki and the Valderramas
180474	Hedley
315418	Olivia Ong
189470	I Killed the Prom Queen
209058	Jesus Culture
81383	Close Your Eyes
54074	Bobby McFerrin
74640	Chiddy Bang
447883	Theophilus London
167380	Gloria Gaynor
458376	Travie McCoy
358655	Robert Francis
196527	Iskra
308212	Nine Days
169251	Gossip
221790	Julien Jabre
172913	Gucci
418852	The Band Perry
36836	Backstreet Boys
223807	K-Liber
204084	Jason Aldean
298112	MxPx
216215	Johnny Cash
202	'N Sync
343989	Quentin Harris
430292	The Hush Sound
128476	Ecliptyka
437152	The Pack
128059	Eat Static
398634	Stefan Schill
412361	Tamia
389301	Sneaky Sound System
43007	Ben Howard
148249	Firehouse
450734	Tim Armstrong
268259	Mandrill
335839	Planet Funk
479734	Will i.am
42493	Bell Biv DeVoe
241479	LaFee
380114	Shawlin
225867	Kane
5987	AKIRA YAMAOKA
376618	Selena Gomez
246145	Lee DeWyze
484133	Xzibit
225221	Kalafina
130760	Eifel65
316356	One Mic
9319	Aditive
194105	Inimigos da HP
314367	Oh Land
485137	Yellowcard
129744	Editors
111164	Dennis Ferrer
261154	Luniz
254784	Lolly
212657	Joe Pass
486179	Young-Holt Unlimited
300560	Naif
116926	Disciple
113551	Diana Krall
87316	Cradle of Filth
149703	Flobots
49364	Black Alien
179099	Hateen
484940	Yazz
186045	Hooverphonic
513932	Khorus
249517	Letto
158992	GD&TOP
239901	LAX
419803	The Black Keys
234288	Kitchens of Distinction
436649	The Offspring
203973	Jars of Clay
199025	Ja Rule
225713	Kamini
117897	Divino
114218	Dido
44028	Bequiet
304333	Nero
114141	Didi Kempot
439383	The Red Jumpsuit Apparatus
43581	Benjamin Francis Leftwich
222954	Justice
4432	A Fine Frenzy
245701	LeCrae
378069	Seu Jorge
438144	The Pogues
467165	VINILOVERSUS
35381	B.E.P.
191267	Iggy Azalea
371360	Santana
291216	Modest Mouse
316560	OneRepublic
463168	U.G.K.
381113	Shinedown
279409	Mazzy Star
54254	Bobby Vinton
237760	Krosfyah
327161	Paul Simon
48407	Bingo Players
59965	Brothers Johnson
335625	Pixote
16286	Alison Hinds
187044	Housemartins
155824	Fresno
330366	Pete Tosh
202610	Jamiroquai
214254	John Cougar
69345	Casting Crowns
426911	The Flirtations
416875	Texas in July
478304	Whigfield
487127	ZPU
274065	Marracash
399744	Stereophonics
120341	Donae'o
375323	Sean Kingston
308970	No Joy
476987	We The Kings
174161	Guè Pequeno
15730	Ali & Gipp
83120	Collie Buddz
216852	Johnny Thunders
451415	Times of Grace
160444	Garbage
18357	Amanda Seyfried
476208	Wasted Penguinz
73944	Cherish
398272	Stavesacre
274876	Martin Solveig
263790	MGMT
437360	The Parlotones
374721	Scracho
287746	Miles Davis
283452	Michael Bublé
17115	Allstar Weekend
412722	Tania Zygar
467968	Vampire Weekend
281859	Mercan Dede
197940	J. Holiday
209538	Jikustik
400988	Stevie Ray Vaughan and Double Trouble
187613	Huey Lewis & The News
4439	A Flock Of Seagulls
344317	Quintino
69470	Cat Power
141320	Evile
227014	Karl Wolf
179677	Head Automatica
117427	Dispatch
463113	U-Jean
303516	Neil Diamond
107692	Dead Will Rise
230315	Kenny Chesney
246894	Leighton Meester
450130	Tiago Iorc
97857	DRC Music
15994	Alice in Chains
360283	Rocko
392553	Soul 4 Real
228200	Katie Melua
237273	Kris Kros
101421	Danko Jones
342805	Pusha
294993	Motley Crue
376351	Sefyu
302576	Nause
449983	Thursday
137079	Epik High
384549	Simple Minds
217096	Joker
58206	Brennan
267613	Mallory knox
218011	Joni Mitchell
15913	Alice Cooper
168623	Good Charlotte
151718	Foundations
356623	Rie fu
113320	Diablo Swing Orchestra
254001	Lloyd Banks
185928	Hoobastank
107492	Dead Fish
487216	Zac Brown Band
468065	Van Halen
97682	DLG
346559	Raheem DeVaughn
156921	Fuego
264650	Machine Gun Kelly
84348	Confide
175076	HER
227570	Kat DeLuna
389388	Snoop
151525	Fort Minor
264198	MV Bill
377247	September
245454	Le Le
306244	Nick Jonas & The Administration
211961	Jodie Connor
139524	Estelle
456262	Topmodelz
338906	Praful
33194	Aura
106575	De Barge
372997	Say Anything
160125	Game
42991	Ben Harper
143884	Faith No More
34055	Avey Tare
272652	Marjorie Estiano
279870	Mecano
482210	Woodkid
256476	Los Enanitos Verdes
172125	Groundation
17082	Allman Brothers Band
276714	Matanza
51457	Bloc Party
397827	Starkoo
487443	Zakkum
418545	The Auteurs
231670	Khia
127031	EBTG
277020	Mato seco
165438	Gigliola Cinquetti
206930	Jefferson Airplane
353549	Restart
486125	Young Roddy
56260	Boston
134706	Emeli Sande
304140	Neon Hitch
453425	Tom Dice
23147	Angels & Airwaves
49454	Black Box Recorder
173191	Guillemots
382330	Sia
38208	Band of Horses
129133	Eddie Money
36568	Babyface
290970	Moby
430741	The Internet
484162	Y Niwl
449794	Throwing Muses
236560	Korpiklaani
479292	Wild Flag
38273	Banda Calypso
217613	Jonas Brothers
169135	Gorilla Zoe
215895	John Williams
231928	Kid Ink
405280	Sunday Girl
419894	The Blackout
46924	Bilal
146768	Fernando e Sorocaba
109953	Del Amitri
371843	Sarah Harmer
65738	Cancer Bats
36348	Baby Bash
337433	Polvo
85925	Corneille
137804	Eric Roberson
16211	Aline Barros
287984	MillenCollin
90877	Cássia Eller
232460	Killa Mike
187517	Hubert von Goisern
150453	Flyleaf
192191	Imany
445234	The Undertones
242808	Lanterns on the Lake
63585	C.N.BLUE
83466	Com Truise
392565	Soul Asylum
255718	Lordi
30959	Asian Dub Foundation
15238	Alexandre Pires
137528	Eric Clapton & The Yardbirds
85846	Corinne Bailey Rae
433684	The Maine
482836	Wu Tang Clan
32512	Attila
79800	Clapton
487901	Zee Avi
289230	Miranda Cosgrove
155553	Frejat
469841	Verse Simmonds
468418	Vanna
268078	Manafest
323791	Parachute
451837	Tindersticks
274031	Marques Houston
47735	Billy Bragg
125832	Dutch Uncles
8679	Adam & The Ants
361137	Rohff
38314	Banda Eva
348695	Ratatat
300086	NX Zero
217581	Jonah Johnson
14029	Alejandro Fernandez
229621	Kelly Row
197578	J Lo
294974	Motionless In White
323483	Papa Roach
239315	L'Arc-en-Ciel
78981	Cinema Bizarre
188411	Hurt
79806	Clara
168609	Goo Goo Dolls
370517	Samy Deluxe
466303	Urbandub
345849	Radical Face
26651	Anya Marina
423431	The Cult
486176	Young the Giant
485365	Yiruma
5663	ABBA
172307	Gruff Rhys
219498	Joshua Redman
411109	TV on the Radio
475084	Wall of Voodoo
162449	Generation X
281953	Mercury Rev
341955	Public Announcement
37054	Bad Meets Evil
28245	Ari Lasso
314157	Of Mice & Men
61467	Buffalo Tom
28151	Aretha Franklin
50707	Blancmange
279199	Mayday Parade
